Date,Stock_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-07,96.36450958251953,90.7715389251709,1,126.17424838480696,126.17424838480696,50126.17424838481,24.535468710111502,OTM_WIN,50126.17424838481,0.0
2019-01-14,100.9671401977539,,0,0.0,0.0,50126.17424838481,24.535468710111502,SKIPPED_MARKET_UP,50126.17424838481,0.0
2019-01-21,100.46094512939453,,0,0.0,0.0,50126.17424838481,24.535468710111502,SKIPPED_MARKET_UP,50126.17424838481,0.0
2019-01-28,96.34577178955078,95.4378978729248,1,132.66058033310557,132.66058033310557,50258.83482871791,24.535468710111502,OTM_WIN,50258.83482871791,0.0
2019-02-04,99.05485534667969,91.52848320007324,1,127.22641601450546,127.22641601450546,50386.06124473242,24.535468710111502,OTM_WIN,50386.06124473242,0.0
2019-02-11,101.44522094726562,,0,0.0,0.0,50386.06124473242,24.535468710111502,SKIPPED_MARKET_UP,50386.06124473242,0.0
2019-02-18,104.46731567382812,,0,0.0,0.0,50386.06124473242,24.535468710111502,SKIPPED_MARKET_UP,50386.06124473242,0.0
2019-02-25,105.93590545654297,,0,0.0,0.0,50386.06124473242,24.535468710111502,SKIPPED_MARKET_UP,50386.06124473242,0.0
2019-03-04,104.03426361083984,,0,0.0,0.0,50386.06124473242,24.535468710111502,SKIPPED_MARKET_UP,50386.06124473242,0.0
2019-03-11,109.11782836914062,98.83255043029784,1,137.3792150508357,137.3792150508357,50523.440459783254,24.535468710111502,OTM_WIN,50523.440459783254,0.0
2019-03-18,110.19103240966797,,0,0.0,0.0,50523.440459783254,24.535468710111502,SKIPPED_MARKET_UP,50523.440459783254,0.0
2019-03-25,111.02888488769531,,0,0.0,0.0,50523.440459783254,24.535468710111502,SKIPPED_MARKET_UP,50523.440459783254,0.0
2019-04-01,112.86461639404297,,0,0.0,0.0,50523.440459783254,22.473074544159722,SKIPPED_MARKET_UP,50523.440459783254,0.0
2019-04-08,113.86248016357422,,0,0.0,0.0,50523.440459783254,22.467433824115943,SKIPPED_MARKET_UP,50523.440459783254,0.0
2019-04-15,116.14067840576172,,0,0.0,0.0,50523.440459783254,21.791944640478626,SKIPPED_MARKET_UP,50523.440459783254,0.0
2019-04-22,122.27860260009766,,0,0.0,0.0,50523.440459783254,21.683353508295163,SKIPPED_MARKET_UP,50523.440459783254,0.0
2019-04-29,121.34662628173828,,0,0.0,0.0,50523.440459783254,20.472525235105827,SKIPPED_MARKET_UP,50523.440459783254,0.0
2019-05-06,119.68034362792969,115.27929496765137,1,98.75744069948192,98.75744069948192,50622.19790048274,20.876781345560417,OTM_WIN,50622.19790048274,0.0
2019-05-13,121.01156616210938,113.69632644653319,1,105.5175449392284,105.5175449392284,50727.71544542196,21.36647829420886,OTM_WIN,50727.71544542196,0.0
2019-05-20,119.28241729736328,,0,0.0,0.0,50727.71544542196,21.20600672766207,SKIPPED_MARKET_UP,50727.71544542196,0.0
2019-05-27,116.86351776123047,113.31829643249512,1,108.86456059182999,108.86456059182999,50836.58000601379,21.590335202208244,OTM_WIN,50836.58000601379,0.0
2019-06-03,124.15802001953125,111.02034187316895,1,107.91166030316681,107.91166030316681,50944.49166631696,21.667865511817197,OTM_WIN,50944.49166631696,0.0
2019-06-10,125.1501693725586,,0,0.0,0.0,50944.49166631696,22.328553797137126,SKIPPED_MARKET_UP,50944.49166631696,0.0
2019-06-17,129.42108154296875,,0,0.0,0.0,50944.49166631696,22.33258354450728,SKIPPED_MARKET_UP,50944.49166631696,0.0
2019-06-24,126.57694244384766,,0,0.0,0.0,50944.49166631696,22.569664964337296,SKIPPED_MARKET_UP,50944.49166631696,0.0
2019-07-01,129.5060577392578,120.24809532165527,1,141.99463332869752,141.99463332869752,51086.48629964566,23.100554383662278,OTM_WIN,51086.48629964566,0.0
2019-07-08,131.24464416503906,,0,0.0,0.0,51086.48629964566,23.17286890503415,SKIPPED_MARKET_UP,51086.48629964566,0.0
2019-07-15,129.09033203125,,0,0.0,0.0,51086.48629964566,23.137183782307204,SKIPPED_MARKET_UP,51086.48629964566,0.0
2019-07-22,133.55023193359375,122.6358154296875,1,132.82887903991946,132.82887903991946,51219.315178685574,22.4301264000731,OTM_WIN,51219.315178685574,0.0
2019-07-29,129.35488891601562,,0,0.0,0.0,51219.315178685574,22.71983397875312,SKIPPED_MARKET_UP,51219.315178685574,0.0
2019-08-05,130.1202850341797,122.88714447021484,1,147.35870590553893,147.35870590553893,51366.67388459111,23.226031416161746,OTM_WIN,51366.67388459111,0.0
2019-08-12,129.0556640625,,0,0.0,0.0,51366.67388459111,23.21707405278012,SKIPPED_MARKET_UP,51366.67388459111,0.0
2019-08-19,126.45807647705078,122.60288085937499,1,145.04582982127206,145.04582982127206,51511.71971441238,23.11569261121518,OTM_WIN,51511.71971441238,0.0
2019-08-26,130.69573974609375,120.13517265319824,1,142.05941931109703,142.05941931109703,51653.779133723474,23.111868013598656,OTM_WIN,51653.779133723474,0.0
2019-09-02,131.87132263183594,,0,0.0,0.0,51653.779133723474,21.88052134550839,SKIPPED_MARKET_UP,51653.779133723474,0.0
2019-09-09,130.18385314941406,,0,0.0,0.0,51653.779133723474,21.88482964984722,SKIPPED_MARKET_UP,51653.779133723474,0.0
2019-09-16,132.19363403320312,123.67466049194336,1,116.46020606123777,116.46020606123777,51770.23933978471,21.459781745581875,OTM_WIN,51770.23933978471,0.0
2019-09-23,130.57252502441406,,0,0.0,0.0,51770.23933978471,21.21204553779873,SKIPPED_MARKET_UP,51770.23933978471,0.0
2019-09-30,130.9422607421875,124.04389877319335,1,109.90332016298152,109.90332016298152,51880.14265994769,21.07794019143997,OTM_WIN,51880.14265994769,0.0
2019-10-07,132.4211883544922,,0,0.0,0.0,51880.14265994769,20.975797981305487,SKIPPED_MARKET_UP,51880.14265994769,0.0
2019-10-14,130.26918029785156,,0,0.0,0.0,51880.14265994769,20.843942689379205,SKIPPED_MARKET_UP,51880.14265994769,0.0
2019-10-21,133.41664123535156,123.75572128295897,1,94.21096788076326,94.21096788076326,51974.35362782845,20.22224445427439,OTM_WIN,51974.35362782845,0.0
2019-10-28,136.25125122070312,,0,0.0,0.0,51974.35362782845,19.887849107270043,SKIPPED_MARKET_UP,51974.35362782845,0.0
2019-11-04,138.37486267089844,,0,0.0,0.0,51974.35362782845,20.12482617430431,SKIPPED_MARKET_UP,51974.35362782845,0.0
2019-11-11,142.1764373779297,,0,0.0,0.0,51974.35362782845,20.079858259800705,SKIPPED_MARKET_UP,51974.35362782845,0.0
