Date,NVDA_Price,Strike,Contracts,Allocation,Premium,Hedge_Cost,PnL,Capital,VIX,Status,Peak,Drawdown_%
2022-06-20,17.100370407104492,14.815035926514135,1,10%,40,0,40.0,55174.72826727326,33.94061481742567,OTM,55174.72826727326,0.0
2022-06-27,14.501263618469238,15.825735807770174,1,10%,40,0,-92.44721893009358,55082.28104834317,36.50016775529511,ASSIGNED,55174.72826727326,-0.16755355546522718
2022-07-04,15.814294815063477,13.387258608076955,1,10%,40,0,40.0,55122.28104834317,37.15863274688701,OTM,55174.72826727326,-0.09505659670136159
2022-07-11,15.738409996032715,14.497506434695433,1,10%,40,30,10.0,55132.28104834317,39.01750102612135,OTM,55174.72826727326,-0.07693235701039518
2022-07-18,17.29307746887207,14.462333845952926,1,10%,40,0,40.0,55172.28104834317,38.387155331036126,OTM,55174.72826727326,-0.004435398246529574
2022-07-25,18.135818481445312,15.799027278025438,1,10%,40,0,40.0,55212.28104834317,39.92037443727776,OTM,55212.28104834317,0.0
2022-08-01,18.96057891845703,16.546529224376503,1,10%,40,0,40.0,55252.28104834317,40.27711187126526,OTM,55252.28104834317,0.0
2022-08-08,18.680997848510742,17.31541777672124,1,10%,40,30,10.0,55262.28104834317,40.02756009060503,OTM,55262.28104834317,0.0
2022-08-15,17.822282791137695,17.09966941133618,1,10%,40,0,40.0,55302.28104834317,39.41651483424047,OTM,55302.28104834317,0.0
2022-08-22,16.23566246032715,16.43317325759474,1,10%,40,0,20.248920273240998,55322.52996861641,37.48199384611058,ASSIGNED,55322.52996861641,0.0
2022-08-29,13.626575469970703,14.905043519968068,1,10%,40,0,-87.84680499973646,55234.68316361667,38.639884503839596,ASSIGNED,55322.52996861641,-0.1587902886031662
2022-09-05,14.369736671447754,12.397325883478961,1,10%,40,30,10.0,55244.68316361667,41.020462289772425,OTM,55322.52996861641,-0.14071447029609882
2022-09-12,13.18216323852539,13.06618692268685,1,10%,40,0,40.0,55284.68316361667,41.16618838180621,OTM,55322.52996861641,-0.06841119706782932
2022-09-19,12.500981330871582,12.005323219565579,1,10%,40,0,40.0,55324.68316361667,40.750899633691816,OTM,55324.68316361667,0.0
2022-09-26,12.124433517456055,11.504160792369058,1,10%,40,0,40.0,55364.68316361667,38.000354732988896,OTM,55364.68316361667,0.0
2022-10-03,12.061509132385254,11.23500902698125,1,10%,40,30,10.0,55374.68316361667,36.15968949109768,OTM,55374.68316361667,0.0
2022-10-10,11.21352767944336,11.176784708189158,1,10%,40,0,40.0,55414.68316361667,36.15767929921418,OTM,55414.68316361667,0.0
2022-10-17,12.451041221618652,10.492862850997263,1,10%,40,0,40.0,55454.68316361667,33.53756687932729,OTM,55454.68316361667,0.0
2022-10-24,13.817398071289062,11.538809264294205,1,10%,40,0,40.0,55494.68316361667,36.133005914649665,OTM,55494.68316361667,0.0
