Week,Open,High,Low,Close,Volume,Date,Returns,Volatility_12w,VIX_Estimate
2018-12-31/2019-01-06,3.2390071817040265,3.433387141998996,3.165866610229452,3.376610279083252,1799924000,2018-12-31,,0.4552132779194207,33.208531116776825
2019-01-07/2019-01-13,3.433883069464481,3.7128092565710475,3.3825605935906724,3.6899993419647217,3510356000,2019-01-07,0.09281173632112338,0.4552132779194207,33.208531116776825
2019-01-14/2019-01-20,3.637684784225225,3.9168584448168775,3.614131006452233,3.8908252716064453,2962056000,2019-01-14,0.05442438088208301,0.4552132779194207,33.208531116776825
2019-01-21/2019-01-27,3.8605770026218598,3.9887576916940186,3.6582630372268445,3.970658540725708,3116116000,2019-01-21,0.020518338282073723,0.4552132779194207,33.208531116776825
2019-01-28/2019-02-03,3.3855357845316836,3.639420451798494,3.247932693968221,3.588346004486084,6107588000,2019-01-28,-0.09628441537301002,0.4552132779194207,33.208531116776825
2019-02-04/2019-02-10,3.604213444766,3.8578502616084736,3.5734701501908073,3.673635482788086,2872204000,2019-02-04,0.023768465525725313,0.4552132779194207,33.208531116776825
2019-02-11/2019-02-17,3.6295025355146233,4.062890743591801,3.58264301964484,3.9009902477264404,4035624000,2019-02-11,0.06188822108332981,0.4552132779194207,33.208531116776825
2019-02-18/2019-02-24,3.8903296016468563,3.998180255082452,3.8474369774909136,3.9468576908111572,1943168000,2019-02-18,0.011757897398346318,0.4552132779194207,33.208531116776825
2019-02-25/2019-03-03,4.0304119953672135,4.09784983030733,3.796114501695703,3.8829216957092285,2326872000,2019-02-25,-0.016199214694459507,0.4552132779194207,33.208531116776825
2019-03-04/2019-03-10,3.921390880130561,3.944224296999847,3.5937810537134136,3.7387237548828125,2048960000,2019-03-04,-0.03713645345610761,0.4552132779194207,33.208531116776825
2019-03-11/2019-03-17,3.762301430231394,4.257191599823181,3.715145334029696,4.214503288269043,3389072000,2019-03-11,0.1272572044845135,0.4552132779194207,33.208531116776825
2019-03-18/2019-03-24,4.246022305412801,4.591502421308385,4.166105229411055,4.405361652374268,3633068000,2019-03-18,0.04528608736324258,0.4552132779194207,33.208531116776825
2019-03-25/2019-03-31,4.364657964050135,4.510840376517785,4.246767929605589,4.456488609313965,2640252000,2019-03-25,0.011605620826190766,0.42571390715030294,32.02855628601212
2019-04-01/2019-04-07,4.5483183278939725,4.756548971270719,4.476591711677349,4.739175319671631,2647368000,2019-04-01,0.06343261144365031,0.4075901949140304,31.30360779656122
2019-04-08/2019-04-14,4.708647275038631,4.801718770475504,4.655040506380316,4.715845584869385,2155244000,2019-04-08,-0.004922741453646573,0.40434422142858123,31.17376885714325
2019-04-15/2019-04-21,4.708152011688977,4.7270137160976615,4.544347071162689,4.623766899108887,1567048000,2019-04-15,-0.01952538184369923,0.4114980841912704,31.459923367650816
2019-04-22/2019-04-28,4.60019002615052,4.785338041478544,4.301121176260781,4.420003890991211,2313280000,2019-04-22,-0.04406861603619028,0.3557810680945954,29.231242723783815
2019-04-29/2019-05-05,4.427945306461977,4.588276901963093,4.355722127582125,4.542112350463867,1840628000,2019-04-29,0.027626323977120393,0.3561366998798795,29.245467995195177
2019-05-06/2019-05-12,4.3557195497159,4.475843390450838,4.070304999758619,4.189932346343994,2626312000,2019-05-06,-0.07753661225132535,0.3929699516917747,30.71879806767099
2019-05-13/2019-05-19,4.057895606039644,4.080977315786321,3.8454452835079294,3.8849072456359863,3487268000,2019-05-13,-0.07279952884541518,0.42643066263004586,32.05722650520184
2019-05-20/2019-05-26,3.7861286279421997,3.8643073902260965,3.595766558205757,3.6024677753448486,2209208000,2019-05-20,-0.07270172810648412,0.4521786655554462,33.08714662221785
2019-05-27/2019-06-02,3.6200896713730124,3.6528506553060973,3.364070616731768,3.365809917449951,1772176000,2019-05-27,-0.06569326157879185,0.465642070809737,33.62568283238949
2019-06-03/2019-06-09,3.376991141813484,3.649565439446264,3.2947468634021604,3.615276336669922,2389092000,2019-06-03,0.07411779789661277,0.4021057445872927,31.084229783491708
2019-06-10/2019-06-16,3.6714311195372797,3.7857281092978683,3.5491831590808935,3.5939080715179443,1848052000,2019-06-10,-0.005910548229809742,0.38167275656107497,30.266910262442998
2019-06-17/2019-06-23,3.592168971990992,3.909219442880647,3.569309486766744,3.770820140838623,1974200000,2019-06-17,0.04922554105452037,0.401819527628729,31.07278110514916
2019-06-24/2019-06-30,3.792188793114708,4.108992504658828,3.744978867025264,4.080666542053223,2021996000,2019-06-24,0.0821694988469246,0.4200157680536145,31.800630722144582
2019-07-01/2019-07-07,4.287891853403796,4.322181195149947,3.9179159705348487,3.981276750564575,1753172000,2019-07-01,-0.02435626397412971,0.420670300481509,31.82681201926036
2019-07-08/2019-07-14,3.921642732035232,4.235711985133004,3.851325714002341,4.164648532867432,2313676000,2019-07-08,0.04605853694467554,0.4372845480337183,32.49138192134873
2019-07-15/2019-07-21,4.185770429821443,4.291370680463468,4.095823045768991,4.185272693634033,1766576000,2019-07-15,0.004952197191152141,0.42947143293930856,32.178857317572344
2019-07-22/2019-07-28,4.206640275137497,4.444928326476604,4.199185928152861,4.350009918212891,1777212000,2019-07-22,0.03936116870698281,0.4340849082089497,32.36339632835799
2019-07-29/2019-08-04,4.342803865443007,4.371626396891745,3.957671787073034,4.005129814147949,1654908000,2019-07-29,-0.07928260177545254,0.43553537280194,32.4214149120776
2019-08-05/2019-08-11,3.8215097851450923,3.9335696618957994,3.6997582307814016,3.8309502601623535,1974104000,2019-08-05,-0.04348911572611547,0.41690999424997166,31.676399769998866
2019-08-12/2019-08-18,3.77877173580928,4.013826744670855,3.6622376632948845,3.9646294116973877,2536196000,2019-08-12,0.03489451505678609,0.38684085128735873,30.47363405149435
2019-08-19/2019-08-25,4.077932967015631,4.309758148292772,4.016310339817155,4.036188125610352,2577088000,2019-08-19,0.018049281908123493,0.3473174897830051,28.892699591320202
2019-08-26/2019-09-01,4.114955782072695,4.249605527425925,3.954626349548749,4.166284561157227,1513380000,2019-08-26,0.032232500443026835,0.32456400531085233,27.982560212434095
2019-09-02/2019-09-08,4.09340992723894,4.504045156754772,4.060330504419183,4.443357944488525,1596520000,2019-09-02,0.0665037107437374,0.33946662159166924,28.578664863666773
2019-09-09/2019-09-15,4.474447363544845,4.685858317404362,4.4468392145399465,4.525185585021973,1784280000,2019-09-09,0.01841572107305578,0.33242396482915726,28.296958593166288
2019-09-16/2019-09-22,4.450072607648018,4.516729095679811,4.284923638142132,4.295120716094971,1308752000,2019-09-16,-0.05084097980169022,0.3229955995419206,27.91982398167682
2019-09-23/2019-09-29,4.2953691990305645,4.452559324286397,4.211302622887676,4.2719902992248535,1472032000,2019-09-23,-0.005385277480896233,0.31714818257765554,27.685927303106222
2019-09-30/2019-10-06,4.297857893987722,4.5552806333222104,4.231448668584901,4.5259318351745605,1561676000,2019-09-30,0.05944337841679648,0.32608089716682376,28.043235886672953
2019-10-07/2019-10-13,4.590847405038909,4.709236966443867,4.389882648862326,4.625916481018066,1973360000,2019-10-07,0.022091505017032498,0.3272969337523324,28.0918773500933
2019-10-14/2019-10-20,4.61721190004377,4.956713348062926,4.586122074945585,4.737839698791504,1863984000,2019-10-14,0.024194820255121652,0.32220216445928695,27.888086578371478
2019-10-21/2019-10-27,4.799273791765229,5.108182079230801,4.751269872770678,5.087289810180664,1525616000,2019-10-21,0.0737572677856313,0.2809184659076366,26.236738636305464
2019-10-28/2019-11-03,5.131063312412015,5.1957301902552,4.919902620012374,5.038788318634033,1241360000,2019-10-28,-0.009533856602698343,0.2515260568086349,25.061042272345396
2019-11-04/2019-11-10,5.119871903589049,5.265371332631213,5.076594333521637,5.167874336242676,1416036000,2019-11-04,0.025618464092104665,0.250304276916878,25.012171076675124
2019-11-11/2019-11-17,5.167129304194802,5.26935212663177,4.9902892175304405,5.078584671020508,2398836000,2019-11-11,-0.017277832124510617,0.2639570920778261,25.558283683113046
2019-11-18/2019-11-24,5.071123431369904,5.3362576420754735,5.068139024545438,5.245225429534912,1974228000,2019-11-18,0.03281244073083833,0.26408754653258487,25.563501861303394
2019-11-25/2019-12-01,5.373316450189058,5.5068784964354265,5.360383072101821,5.394702434539795,1249060000,2019-11-25,0.028497727507230675,0.24348589822208708,24.739435928883484
2019-12-02/2019-12-08,5.387734360424529,5.401175285328456,4.9872515189885895,5.280956745147705,1527812000,2019-12-02,-0.02108470129210993,0.25583045943552046,25.23321837742082
2019-12-09/2019-12-15,5.258057982542505,5.699360889940444,5.2493464451662675,5.575158596038818,1561116000,2019-12-09,0.0557099527772944,0.22317011896548816,23.926804758619525
2019-12-16/2019-12-22,5.622698456459965,5.983356543611427,5.594572302779764,5.957968711853027,2034124000,2019-12-16,0.06866353830475735,0.23261680512519517,24.304672205007808
2019-12-23/2019-12-29,5.986592564523979,6.01870085920795,5.869359051990193,5.895742893218994,931420000,2019-12-23,-0.010444133167439862,0.23426245281440342,24.370498112576136
2019-12-30/2020-01-05,5.873841773755167,5.971409797668457,5.727983663924737,5.87583065032959,931980000,2019-12-30,-0.0033773933582325055,0.24051703736793625,24.620681494717452
2020-01-06/2020-01-12,5.782494230981256,6.186461474165216,5.756359621904757,6.081175804138184,1426008000,2020-01-06,0.03494742548393148,0.24230572185737353,24.69222887429494
2020-01-13/2020-01-19,6.1643088762984775,6.296973440866973,6.08640168504852,6.204629421234131,1480016000,2020-01-13,0.02030094525666204,0.21141422323973907,23.456568929589565
2020-01-20/2020-01-26,6.168042628062491,6.459009239561232,6.137178632668914,6.234499454498291,1075184000,2020-01-20,0.004814152665094884,0.2048883205714582,23.19553282285833
2020-01-27/2020-02-02,5.9298430881536515,6.204383224445831,5.780252977773536,5.884791851043701,1701284000,2020-01-27,-0.05609233042794959,0.255402809750989,25.216112390039562
2020-02-03/2020-02-09,5.866622000062996,6.328335285186768,5.860399542958125,6.262128829956055,1143364000,2020-02-03,0.06412070103132539,0.2680093965337925,25.7203758613517
2020-02-10/2020-02-16,6.284778884069444,7.341865218316745,6.279800727450637,7.2129340171813965,3112748000,2020-02-10,0.15183417860664083,0.38680124265807747,30.472049706323098
2020-02-17/2020-02-23,7.109638988755365,7.873271239306523,7.090224846302637,7.319464683532715,2892728000,2020-02-17,0.014769394271119118,0.3877985727648937,30.51194291059575
2020-02-24/2020-03-01,6.7250859513807235,7.015803911128321,6.021802743910398,6.726118564605713,4699812000,2020-02-24,-0.08106414124272066,0.43960491251026584,32.584196500410634
2020-03-02/2020-03-08,6.8962209004899355,7.095213112715437,6.4255143187867105,6.625751495361328,3196684000,2020-03-02,-0.014921989298930627,0.4385998154749877,32.54399261899951
2020-03-09/2020-03-15,5.974732222369242,6.502222537994385,5.374521016591057,5.998143196105957,3146148000,2020-03-09,-0.09472258349785045,0.4763362876084625,34.0534515043385
2020-03-16/2020-03-22,5.290091309567239,5.736141093471832,4.499853317187117,5.124223232269287,4005020000,2020-03-16,-0.14569841620387214,0.5681013035659912,37.72405214263965
2020-03-23/2020-03-29,5.123227218008279,6.553030107728957,4.9441596073334635,6.294266223907471,3873888000,2020-03-23,0.2283356791074116,0.7531177200832291,45.12470880332916
2020-03-30/2020-04-05,6.359765541677423,6.858865067257388,5.937125520263196,6.074601650238037,3548100000,2020-03-30,-0.034899155176354446,0.756450035853213,45.25800143412852
2020-04-06/2020-04-12,6.356775904106581,6.929842768857639,6.299244915742779,6.548796653747559,2580412000,2020-04-06,0.07806190937490354,0.771476950123527,45.85907800494108
2020-04-13/2020-04-19,6.489023638809924,7.446623407568939,6.400610651116325,7.280259132385254,2580244000,2020-04-13,0.11169418097890005,0.7999359439611307,46.99743775844523
2020-04-20/2020-04-26,7.153739539148925,7.309645293108187,6.6523998619664395,7.21226692199707,2444392000,2020-04-20,-0.009339256907179183,0.7851235651105999,46.404942604423994
2020-04-27/2020-05-03,7.346753587809937,7.576130635658763,6.994347623348934,7.04266357421875,2019464000,2020-04-27,-0.023515955470399752,0.7842754876685366,46.37101950674146
2020-05-04/2020-05-10,6.99534315443708,7.7890678607746375,6.99534315443708,7.782841682434082,1722864000,2020-05-04,0.10509917170045147,0.7510732882527594,45.04293153011038
2020-05-11/2020-05-17,7.777860652267359,8.468231385191919,7.565920228879928,8.458518981933594,3177944000,2020-05-11,0.0868162718797838,0.7675088507554612,45.70035403021845
2020-05-18/2020-05-24,8.727241703442843,9.058484377125433,8.647545490431266,8.991987228393555,3879148000,2020-05-18,0.06306875324148198,0.7384098337534674,44.536393350138695
2020-05-25/2020-05-31,9.121987780936925,9.1468934429903,7.9663958791807925,8.84180736541748,3426824000,2020-05-25,-0.01670152093875965,0.7389212081618863,44.55684832647546
2020-06-01/2020-06-07,8.799716491237003,8.966937271416668,8.625133265614396,8.8901948928833,2052664000,2020-06-01,0.0054725833153836945,0.6872329341319056,42.48931736527622
2020-06-08/2020-06-14,8.847587452303124,9.46825514478124,8.65672761553752,8.902652740478516,2642964000,2020-06-08,0.0014013019675402916,0.5580825066568539,37.32330026627416
2020-06-15/2020-06-21,8.785795280600206,9.413437011648055,8.71453341379192,9.230300903320312,2122592000,2020-06-15,0.03680343066196978,0.38314943185115635,30.325977274046256
2020-06-22/2020-06-28,9.268924225594319,9.610281521790352,9.094509231682238,9.124408721923828,2191104000,2020-06-22,-0.01147223503389716,0.36605424737036285,29.642169894814515
2020-06-29/2020-07-05,9.13910960070317,9.70496287801594,8.870260374063909,9.580131530761719,1400844000,2020-06-29,0.049945461972006555,0.35515907211707487,29.206362884682996
2020-07-06/2020-07-12,9.709196693635228,10.619644469216341,9.680044291077756,10.444232940673828,2031396000,2020-07-06,0.09019723864306939,0.3349653643174279,28.398614572697117
2020-07-13/2020-07-19,10.559596310858286,10.75618660028211,9.752799622118072,10.167410850524902,2014984000,2020-07-13,-0.02650477940518492,0.34655950143388836,28.862380057355537
2020-07-20/2020-07-26,10.239915585743814,10.567071192485503,9.744331183309702,10.160435676574707,1814132000,2020-07-20,-0.0006860324671383866,0.33286610433225694,28.31464417329028
2020-07-27/2020-08-02,10.19805917435,10.730526279833617,10.175135514559727,10.579282760620117,1543236000,2020-07-27,0.04122333897660302,0.29035554349233633,26.614221739693456
2020-08-03/2020-08-09,10.696636403024582,11.466306144698953,10.679443984714649,11.162075996398926,1559812000,2020-08-03,0.05508816135893202,0.2657335468767286,25.629341875069144
2020-08-10/2020-08-16,11.296378130139873,11.682580247060663,10.759677007204086,11.525361061096191,1987616000,2020-08-10,0.032546370837688965,0.2517401309473712,25.069605237894848
2020-08-17/2020-08-23,11.811649281095725,12.765950349767973,11.777763445639556,12.641119003295898,3668628000,2020-08-17,0.09680893607454455,0.2797684638805726,26.190738555222904
2020-08-24/2020-08-30,12.840698355831849,13.104065060151868,12.465705345293538,13.103816032409668,1955648000,2020-08-24,0.03660253724319262,0.27383452086168103,25.95338083446724
2020-08-31/2020-09-06,13.138699399567772,14.6819300726852,11.669129045305858,12.584086418151855,4294980000,2020-08-31,-0.03966246267288587,0.3078194768005295,27.31277907202118
2020-09-07/2020-09-13,11.69878640008038,13.025486301641582,11.668628868001777,12.12747859954834,2867540000,2020-09-07,-0.03628454251115787,0.33652762177123186,28.461104870849276
2020-09-14/2020-09-20,13.041189988553288,13.274477094290067,11.952262746342855,12.152152061462402,3976656000,2020-09-14,0.002034508798472112,0.3309285085512628,28.237140342050512
2020-09-21/2020-09-27,11.888709917895248,12.844291577500536,11.86827212113999,12.83457088470459,3333764000,2020-09-21,0.05615621165623108,0.3333754911115958,28.335019644463834
2020-09-28/2020-10-04,13.000562902438823,13.720864201885407,12.711196429256022,13.022497177124023,2961952000,2020-09-28,0.014642195216934883,0.29958479471320937,26.983391788528376
2020-10-05/2020-10-11,13.195718950444643,14.098961824596449,13.182508924277144,13.720865249633789,2408116000,2020-10-05,0.05362781523474269,0.28783830634353624,26.513532253741452
2020-10-12/2020-10-18,13.946923956456635,14.30483445701729,13.725852372515204,13.7694673538208,1565064000,2020-10-12,0.0035422040303405566,0.28611402677517417,26.444561071006966
2020-10-19/2020-10-25,13.860687988387964,13.940942647700611,13.19148296251484,13.5488920211792,1270840000,2020-10-19,-0.01601916232296341,0.29667567881018636,26.867027152407456
