Date,NVDA_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-07,3.6899993419647217,3.163455935133436,1,40,40.0,50040.0,33.208531116776825,OTM,50040.0,0.0
2019-01-14,3.8908252716064453,3.457061773248533,1,40,40.0,50080.0,33.208531116776825,OTM,50080.0,0.0
2019-01-21,3.970658540725708,3.6452102199287006,1,40,40.0,50120.0,33.208531116776825,OTM,50120.0,0.0
2019-01-28,3.588346004486084,3.7200038763304706,1,40,29.467370252449072,50149.46737025245,33.208531116776825,ASSIGNED_ABSORBED,50149.46737025245,0.0
2019-02-04,3.673635482788086,3.3618254779126597,1,40,40.0,50189.46737025245,33.208531116776825,OTM,50189.46737025245,0.0
2019-02-11,3.9009902477264404,3.4417309108879324,1,40,40.0,50229.46737025245,33.208531116776825,OTM,50229.46737025245,0.0
2019-02-18,3.9468576908111572,3.654733514410295,1,40,40.0,50269.46737025245,33.208531116776825,OTM,50269.46737025245,0.0
2019-02-25,3.8829216957092285,3.6977054960910287,1,40,40.0,50309.46737025245,33.208531116776825,OTM,50309.46737025245,0.0
2019-03-04,3.7387237548828125,3.6378055708829673,1,40,40.0,50349.46737025245,33.208531116776825,OTM,50349.46737025245,0.0
2019-03-11,4.214503288269043,3.502710373617503,1,40,40.0,50389.46737025245,33.208531116776825,OTM,50389.46737025245,0.0
2019-03-18,4.405361652374268,3.9484555038829727,1,40,40.0,50429.46737025245,33.208531116776825,OTM,50429.46737025245,0.0
2019-03-25,4.456488609313965,4.127265604781693,1,40,40.0,50469.46737025245,33.208531116776825,OTM,50469.46737025245,0.0
2019-04-01,4.739175319671631,4.193395806979914,1,40,40.0,50509.46737025245,32.02855628601212,OTM,50509.46737025245,0.0
2019-04-08,4.715845584869385,4.471304854838463,1,40,40.0,50549.46737025245,31.30360779656122,OTM,50549.46737025245,0.0
2019-04-15,4.623766899108887,4.45141654674039,1,40,40.0,50589.46737025245,31.17376885714325,OTM,50589.46737025245,0.0
2019-04-22,4.420003890991211,4.359913874236086,1,40,40.0,50629.46737025245,31.459923367650816,OTM,50629.46737025245,0.0
2019-04-29,4.542112350463867,4.201929928762405,1,40,40.0,50669.46737025245,29.231242723783815,OTM,50669.46737025245,0.0
2019-05-06,4.189932346343994,4.317789801789298,1,40,29.77140356437566,50699.238773816825,29.245467995195177,ASSIGNED_ABSORBED,50699.238773816825,0.0
2019-05-13,3.8849072456359863,3.961601449632129,1,40,33.8644636803086,50733.10323749713,30.71879806767099,ASSIGNED_ABSORBED,50733.10323749713,0.0
2019-05-20,3.6024677753448486,3.6551721171569675,1,40,35.78365265503049,50768.886890152164,32.05722650520184,ASSIGNED_ABSORBED,50768.886890152164,0.0
2019-05-27,3.365809917449951,3.376571796213016,1,40,39.1390496989548,50808.02593985112,33.08714662221785,ASSIGNED_ABSORBED,50808.02593985112,0.0
2019-06-03,3.615276336669922,3.1484696856553476,1,40,40.0,50848.02593985112,33.62568283238949,OTM,50848.02593985112,0.0
2019-06-10,3.5939080715179443,3.413681175184054,1,40,40.0,50888.02593985112,31.084229783491708,OTM,50888.02593985112,0.0
2019-06-17,3.770820140838623,3.403687950420536,1,40,40.0,50928.02593985112,30.266910262442998,OTM,50928.02593985112,0.0
2019-06-24,4.080666542053223,3.5607012086692715,1,40,40.0,50968.02593985112,31.07278110514916,OTM,50968.02593985112,0.0
2019-07-01,3.981276750564575,3.842985233303757,1,40,40.0,51008.02593985112,31.800630722144582,OTM,51008.02593985112,0.0
2019-07-08,4.164648532867432,3.7490231007056476,1,40,40.0,51048.02593985112,31.82681201926036,OTM,51048.02593985112,0.0
2019-07-15,4.185272693634033,3.912102346129335,1,40,40.0,51088.02593985112,32.49138192134873,OTM,51088.02593985112,0.0
2019-07-22,4.350009918212891,3.936010524876572,1,40,40.0,51128.02593985112,32.178857317572344,OTM,51128.02593985112,0.0
2019-07-29,4.005129814147949,4.088153476327666,1,40,33.35810702562263,51161.384046876745,32.36339632835799,ASSIGNED_ABSORBED,51161.384046876745,0.0
2019-08-05,3.8309502601623535,3.7632284274452164,1,40,40.0,51201.384046876745,32.4214149120776,OTM,51201.384046876745,0.0
2019-08-12,3.9646294116973877,3.609463817602931,1,40,40.0,51241.384046876745,31.676399769998866,OTM,51241.384046876745,0.0
2019-08-19,4.036188125610352,3.7519461769453657,1,40,40.0,51281.384046876745,30.47363405149435,OTM,51281.384046876745,0.0
2019-08-26,4.166284561157227,3.84178807122497,1,40,40.0,51321.384046876745,28.892699591320202,OTM,51321.384046876745,0.0
2019-09-02,4.443357944488525,3.978764553657133,1,40,40.0,51361.384046876745,27.982560212434095,OTM,51361.384046876745,0.0
2019-09-09,4.525185585021973,4.234184423617724,1,40,40.0,51401.384046876745,28.578664863666773,OTM,51401.384046876745,0.0
2019-09-16,4.295120716094971,4.316579463678272,1,40,38.28330019333592,51439.667347070084,28.296958593166288,ASSIGNED_ABSORBED,51439.667347070084,0.0
2019-09-23,4.2719902992248535,4.102736114572213,1,40,40.0,51479.667347070084,27.91982398167682,OTM,51479.667347070084,0.0
2019-09-30,4.5259318351745605,4.084105859942516,1,40,40.0,51519.667347070084,27.685927303106222,OTM,51519.667347070084,0.0
2019-10-07,4.625916481018066,4.321272436295302,1,40,40.0,51559.667347070084,28.043235886672953,OTM,51559.667347070084,0.0
2019-10-14,4.737839698791504,4.415955761511068,1,40,40.0,51599.667347070084,28.0918773500933,OTM,51599.667347070084,0.0
2019-10-21,5.087289810180664,4.5261463835140345,1,40,40.0,51639.667347070084,27.888086578371478,OTM,51639.667347070084,0.0
2019-10-28,5.038788318634033,4.889107404784197,1,40,40.0,51679.667347070084,26.236738636305464,OTM,51679.667347070084,0.0
