Date,Close,High,Low,Open,Volume
2019-01-02,3.377354145050049,3.433387141998996,3.2243790837825164,3.2390071817040265,508752000
2019-01-03,3.173304557800293,3.35107308894559,3.165866610229452,3.3171061385596943,705552000
2019-01-04,3.376610279083252,3.414791914986275,3.215701213226548,3.246444901887799,585620000
2019-01-07,3.555370569229126,3.5923127453752457,3.3825605935906724,3.433883069464481,709160000
2019-01-08,3.466858386993408,3.6391725442839733,3.394213726416275,3.6369409470710212,786016000
2019-01-09,3.5350406169891357,3.582395974416625,3.4676025381289186,3.5181809199379885,617260000
2019-01-10,3.600742816925049,3.609420462811917,3.4552056907558453,3.515701650785624,523156000
2019-01-11,3.6899993419647217,3.7128092565710475,3.5506604592406563,3.5784289275710726,874764000
2019-01-14,3.7299160957336426,3.7552054025821127,3.614131006452233,3.637684784225225,730168000
2019-01-15,3.7157845497131348,3.80206541950637,3.6974373567757977,3.7626438408571707,617012000
2019-01-16,3.690247058868408,3.776032093517072,3.6847926735360543,3.7430570380961385,470104000
2019-01-17,3.7616519927978516,3.8015694012247274,3.62999909708207,3.657271969281557,493436000
2019-01-18,3.8908252716064453,3.9168584448168775,3.7599162491488,3.811486527437717,651336000
2019-01-22,3.6885108947753906,3.872229873528204,3.6582630372268445,3.8605770026218598,661552000
2019-01-23,3.701403856277466,3.8325609128679687,3.670164332146747,3.743800657316724,591020000
2019-01-24,3.9133875370025635,3.9309906264719285,3.7812388120318072,3.785949567881503,708972000
2019-01-25,3.970658540725708,3.9887576916940186,3.7512373690389857,3.853881823704852,1154572000
2019-01-28,3.421734094619751,3.511734038207602,3.247932693968221,3.3855357845316836,2511528000
2019-01-29,3.2628085613250732,3.423965662878717,3.248180464278207,3.3756184141885828,1153932000
2019-01-30,3.4063620567321777,3.4207421185467286,3.2593372328069816,3.338923995494144,974228000
2019-01-31,3.5640487670898438,3.599751251458656,3.3813214210008837,3.40313967157297,842852000
2019-02-01,3.588346004486084,3.639420451798494,3.5350404327895575,3.5826435853708083,625048000
2019-02-04,3.698676347732544,3.7358663217906254,3.582147399796821,3.604213444766,528592000
2019-02-05,3.7177672386169434,3.7544613817460473,3.676858171779204,3.7105770885521006,542424000
2019-02-06,3.7933874130249023,3.8578502616084736,3.7455362265006746,3.7509906115321305,702464000
2019-02-07,3.6550405025482178,3.7492553882133812,3.6121481023155275,3.747024027205041,637120000
2019-02-08,3.673635482788086,3.684296455384477,3.5734701501908073,3.5878502151835927,461604000
2019-02-11,3.6309902667999268,3.6837999984666987,3.58264301964484,3.6295025355146233,495180000
2019-02-12,3.7480154037475586,3.7636354025064613,3.655040222748471,3.6694205240536126,591060000
2019-02-13,3.790412187576294,3.8635526818664734,3.7638831823767678,3.777519617855716,605372000
2019-02-14,3.8313212394714355,3.8595857736749397,3.7462798392413776,3.7894205063014916,827264000
2019-02-15,3.9009902477264404,4.062890743591801,3.8781803374776587,4.040081069791104,1516748000
2019-02-19,3.8836352825164795,3.96421396391669,3.8712387805608643,3.8903296016468563,551892000
2019-02-20,3.930990219116211,3.998180255082452,3.9017342600920597,3.9128910633713883,540988000
2019-02-21,3.862065076828003,3.968180628205051,3.8474369774909136,3.9436354218560936,448548000
2019-02-22,3.9468576908111572,3.965700710713358,3.900246209114618,3.9138826424303805,401740000
2019-02-25,3.9344615936279297,4.09784983030733,3.925783711981515,4.0304119953672135,656020000
2019-02-26,3.8950395584106445,3.985783362255517,3.8615684425218846,3.9297503715302553,488464000
2019-02-27,3.8531394004821777,3.9071888363174554,3.796114501695703,3.8806600682997003,500256000
2019-02-28,3.828568458557129,3.8692716349376517,3.8062316180109406,3.8469345576996776,324944000
2019-03-01,3.8829216957092285,3.9251136587745745,3.8201297386943245,3.878454138738908,357188000
2019-03-04,3.8911118507385254,3.944224296999847,3.8345245328287154,3.921390880130561,409992000
2019-03-05,3.8846585750579834,3.9228795561543923,3.82112199293267,3.875475409188659,362924000
2019-03-06,3.77371883392334,3.8841630126720745,3.770988830756522,3.875724713478367,403524000
2019-03-07,3.704474449157715,3.75982080934452,3.6583112585086894,3.7501412970436925,450104000
2019-03-08,3.7387237548828125,3.7493959500021394,3.5937810537134136,3.615125443952067,422416000
2019-03-11,3.9993221759796143,4.022155355161391,3.715145334029696,3.762301430231394,859728000
2019-03-12,4.033573627471924,4.079984631977639,3.9509262895199857,4.027120461822635,579576000
2019-03-13,4.184969425201416,4.214255781160904,4.063604732448927,4.071050584659944,768900000
2019-03-14,4.109022617340088,4.206064834017345,4.1013287137822045,4.194151662483616,519384000
2019-03-15,4.214503288269043,4.257191599823181,4.148732793105118,4.152207428619799,661484000
2019-03-18,4.193158149719238,4.299879619691205,4.166105229411055,4.246022305412801,486992000
2019-03-19,4.36093282699585,4.405358912043772,4.270840392399691,4.287716983888519,854972000
2019-03-20,4.3284220695495605,4.443333567074416,4.293675241273707,4.389972822984952,719148000
2019-03-21,4.565194129943848,4.591502421308385,4.346539683584772,4.351503583598241,824312000
2019-03-22,4.405361652374268,4.5865397926344755,4.391463107190875,4.537894884492602,747644000
2019-03-25,4.313034534454346,4.4289387246488605,4.246767929605589,4.364657964050135,525212000
2019-03-26,4.389724254608154,4.510840376517785,4.33338498763759,4.454749635898403,703508000
2019-03-27,4.38054084777832,4.461698661810291,4.311048149956939,4.415287670072511,474372000
2019-03-28,4.39915657043457,4.464926600394728,4.346043872347179,4.406601948387105,480264000
2019-03-29,4.456488609313965,4.480811537304026,4.415537605409092,4.46591983280798,456896000
2019-04-01,4.523995876312256,4.554274914274913,4.476591711677349,4.5483183278939725,483824000
2019-04-02,4.541864395141602,4.58629049577616,4.505132670942493,4.54806950688738,440920000
2019-04-03,4.681346893310547,4.740416168098817,4.586538579416241,4.591502479492614,783504000
2019-04-04,4.672413349151611,4.7148536159890835,4.609621371251748,4.665960182860149,457376000
2019-04-05,4.739175319671631,4.756548971270719,4.679113828324324,4.715597502576844,481744000
2019-04-08,4.7600226402282715,4.785089717046116,4.684572883433844,4.708647275038631,424192000
2019-04-09,4.697232723236084,4.737687621869268,4.655040506380316,4.726519079954985,439972000
2019-04-10,4.7677178382873535,4.793529556939661,4.692020473827563,4.696487795635909,444772000
2019-04-11,4.753818035125732,4.801718770475504,4.704428508489691,4.770198526343151,374600000
2019-04-12,4.715845584869385,4.796507310952013,4.707158995707699,4.792536095885126,471708000
2019-04-15,4.584057331085205,4.7131159125252005,4.544347071162689,4.708152011688977,440092000
2019-04-16,4.671171188354492,4.6900336305362345,4.590509939780643,4.623270923910283,394964000
2019-04-17,4.6483378410339355,4.7270137160976615,4.626000764151662,4.706165903909824,351004000
2019-04-18,4.623766899108887,4.689040812525117,4.595969815999399,4.655039090990628,380988000
2019-04-22,4.6776251792907715,4.693261041743073,4.568670248205501,4.60019002615052,279936000
2019-04-23,4.73222541809082,4.763497608097091,4.681098575668706,4.690777848901903,346856000
2019-04-24,4.744635105133057,4.785338041478544,4.6818431463557735,4.742649261210778,318204000
2019-04-25,4.638906478881836,4.726765519038562,4.559237920911296,4.70442844283712,499296000
2019-04-26,4.420003890991211,4.489497075526725,4.301121176260781,4.485029281195309,868988000
2019-04-29,4.450778961181641,4.478576042245985,4.355722127582125,4.427945306461977,391920000
2019-04-30,4.492228031158447,4.517791223873534,4.399405063429239,4.418515563047913,362920000
2019-05-01,4.479074001312256,4.58678819700055,4.478825474880816,4.544595983080852,354280000
2019-05-02,4.546581268310547,4.588276901963093,4.445568293890149,4.4887531925684785,394684000
2019-05-03,4.542112350463867,4.564945530378216,4.480561133787182,4.555018204923479,336824000
2019-05-06,4.463682174682617,4.475843390450838,4.318491270554352,4.3557195497159,422176000
2019-05-07,4.2964067459106445,4.415289486750725,4.248257943532925,4.415289486750725,555220000
2019-05-08,4.31650972366333,4.396674881623727,4.256944329580253,4.268857503073603,419168000
2019-05-09,4.223934650421143,4.257192219030091,4.1050523932512455,4.247512943457575,660248000
2019-05-10,4.189932346343994,4.258680898184271,4.070304999758619,4.193158928885538,569500000
2019-05-13,3.9325599670410156,4.080977315786321,3.9166758178645575,4.057895606039644,656912000
2019-05-14,4.021660327911377,4.056903264695281,3.933552985951617,3.972270321780847,524880000
2019-05-15,3.9606051445007324,3.9970888148436092,3.906748061112328,3.9660651503880393,502320000
2019-05-16,3.9757447242736816,4.018433509440006,3.9127049419828603,3.955145200765673,781088000
2019-05-17,3.8849072456359863,4.063107272765102,3.8454452835079294,3.933800664761079,1022068000
2019-05-20,3.7662734985351562,3.8412266948888796,3.7414544684304456,3.7861286279421997,572064000
2019-05-21,3.8484232425689697,3.8643073902260965,3.7883615237423713,3.827079089276912,361848000
2019-05-22,3.77744197845459,3.8357663905755324,3.7665214917697853,3.8097066224018588,325868000
2019-05-23,3.656324625015259,3.7151453642340067,3.59651096392142,3.7151453642340067,591844000
2019-05-24,3.6024677753448486,3.710429988316517,3.595766558205757,3.6751870584784108,357584000
2019-05-28,3.557297706604004,3.6528506553060973,3.5553120991840212,3.6200896713730124,428356000
2019-05-29,3.4830892086029053,3.544639962663418,3.4483426166659505,3.5096453177271654,559800000
2019-05-30,3.456502676010132,3.522099432460653,3.418237822426676,3.4863193619456454,394300000
2019-05-31,3.365809917449951,3.4748894274087694,3.364070616731768,3.407553371648301,389720000
2019-06-03,3.324066638946533,3.4157529030716662,3.2947468634021604,3.376991141813484,478644000
2019-06-04,3.553158760070801,3.5583766627047066,3.366058799767715,3.3881728019250255,641836000
2019-06-05,3.51042103767395,3.632421130669849,3.474144059991226,3.6269546556211023,511616000
