Date,NVDA_Price,Strike,Contracts,Premium,PnL,Capital,VIX,Status,Peak,Drawdown_%
2019-01-07,3.6899993419647217,3.163455935133436,3,120,120.0,50120.0,33.208531116776825,OTM,50120.0,0.0
2019-01-14,3.8908252716064453,3.457061773248533,3,120,120.0,50240.0,33.208531116776825,OTM,50240.0,0.0
2019-01-21,3.970658540725708,3.6452102199287006,3,120,120.0,50360.0,33.208531116776825,OTM,50360.0,0.0
2019-01-28,3.588346004486084,3.7200038763304706,3,120,80.50263844668402,50440.502638446684,33.208531116776825,ASSIGNED,50440.502638446684,0.0
2019-02-04,3.673635482788086,3.3618254779126597,3,120,120.0,50560.502638446684,33.208531116776825,OTM,50560.502638446684,0.0
2019-02-11,3.9009902477264404,3.4417309108879324,3,120,120.0,50680.502638446684,33.208531116776825,OTM,50680.502638446684,0.0
2019-02-18,3.9468576908111572,3.654733514410295,3,120,120.0,50800.502638446684,33.208531116776825,OTM,50800.502638446684,0.0
2019-02-25,3.8829216957092285,3.6977054960910287,3,120,120.0,50920.502638446684,33.208531116776825,OTM,50920.502638446684,0.0
2019-03-04,3.7387237548828125,3.6378055708829673,3,120,120.0,51040.502638446684,33.208531116776825,OTM,51040.502638446684,0.0
2019-03-11,4.214503288269043,3.502710373617503,3,120,120.0,51160.502638446684,33.208531116776825,OTM,51160.502638446684,0.0
2019-03-18,4.405361652374268,3.9484555038829727,3,120,120.0,51280.502638446684,33.208531116776825,OTM,51280.502638446684,0.0
2019-03-25,4.456488609313965,4.127265604781693,3,120,120.0,51400.502638446684,33.208531116776825,OTM,51400.502638446684,0.0
2019-04-01,4.739175319671631,4.193395806979914,3,120,120.0,51520.502638446684,32.02855628601212,OTM,51520.502638446684,0.0
2019-04-08,4.715845584869385,4.471304854838463,3,120,120.0,51640.502638446684,31.30360779656122,OTM,51640.502638446684,0.0
2019-04-15,4.623766899108887,4.45141654674039,3,120,120.0,51760.502638446684,31.17376885714325,OTM,51760.502638446684,0.0
2019-04-22,4.420003890991211,4.359913874236086,3,120,120.0,51880.502638446684,31.459923367650816,OTM,51880.502638446684,0.0
2019-04-29,4.542112350463867,4.201929928762405,3,120,120.0,52000.502638446684,29.231242723783815,OTM,52000.502638446684,0.0
2019-05-06,4.189932346343994,4.317789801789298,3,120,81.64276336640873,52082.14540181309,29.245467995195177,ASSIGNED,52082.14540181309,0.0
2019-05-13,3.8849072456359863,3.961601449632129,3,120,96.99173880115725,52179.13714061425,30.71879806767099,ASSIGNED,52179.13714061425,0.0
2019-05-20,3.6024677753448486,3.6551721171569675,3,120,104.18869745636432,52283.32583807062,32.05722650520184,ASSIGNED,52283.32583807062,0.0
2019-05-27,3.365809917449951,3.376571796213016,3,120,116.7714363710805,52400.0972744417,33.08714662221785,ASSIGNED,52400.0972744417,0.0
2019-06-03,3.615276336669922,3.1484696856553476,3,120,120.0,52520.0972744417,33.62568283238949,OTM,52520.0972744417,0.0
2019-06-10,3.5939080715179443,3.413681175184054,3,120,120.0,52640.0972744417,31.084229783491708,OTM,52640.0972744417,0.0
2019-06-17,3.770820140838623,3.403687950420536,3,120,120.0,52760.0972744417,30.266910262442998,OTM,52760.0972744417,0.0
2019-06-24,4.080666542053223,3.5607012086692715,3,120,120.0,52880.0972744417,31.07278110514916,OTM,52880.0972744417,0.0
2019-07-01,3.981276750564575,3.842985233303757,3,120,120.0,53000.0972744417,31.800630722144582,OTM,53000.0972744417,0.0
2019-07-08,4.164648532867432,3.7490231007056476,3,120,120.0,53120.0972744417,31.82681201926036,OTM,53120.0972744417,0.0
2019-07-15,4.185272693634033,3.912102346129335,3,120,120.0,53240.0972744417,32.49138192134873,OTM,53240.0972744417,0.0
2019-07-22,4.350009918212891,3.936010524876572,3,120,120.0,53360.0972744417,32.178857317572344,OTM,53360.0972744417,0.0
2019-07-29,4.005129814147949,4.088153476327666,3,120,95.09290134608486,53455.190175787786,32.36339632835799,ASSIGNED,53455.190175787786,0.0
2019-08-05,3.8309502601623535,3.7632284274452164,3,120,120.0,53575.190175787786,32.4214149120776,OTM,53575.190175787786,0.0
2019-08-12,3.9646294116973877,3.609463817602931,3,120,120.0,53695.190175787786,31.676399769998866,OTM,53695.190175787786,0.0
2019-08-19,4.036188125610352,3.7519461769453657,3,120,120.0,53815.190175787786,30.47363405149435,OTM,53815.190175787786,0.0
2019-08-26,4.166284561157227,3.84178807122497,3,120,120.0,53935.190175787786,28.892699591320202,OTM,53935.190175787786,0.0
2019-09-02,4.443357944488525,3.978764553657133,3,120,120.0,54055.190175787786,27.982560212434095,OTM,54055.190175787786,0.0
2019-09-09,4.525185585021973,4.234184423617724,3,120,120.0,54175.190175787786,28.578664863666773,OTM,54175.190175787786,0.0
2019-09-16,4.295120716094971,4.316579463678272,3,120,113.5623757250097,54288.75255151279,28.296958593166288,ASSIGNED,54288.75255151279,0.0
2019-09-23,4.2719902992248535,4.102736114572213,3,120,120.0,54408.75255151279,27.91982398167682,OTM,54408.75255151279,0.0
2019-09-30,4.5259318351745605,4.084105859942516,3,120,120.0,54528.75255151279,27.685927303106222,OTM,54528.75255151279,0.0
2019-10-07,4.625916481018066,4.321272436295302,3,120,120.0,54648.75255151279,28.043235886672953,OTM,54648.75255151279,0.0
2019-10-14,4.737839698791504,4.415955761511068,3,120,120.0,54768.75255151279,28.0918773500933,OTM,54768.75255151279,0.0
2019-10-21,5.087289810180664,4.5261463835140345,3,120,120.0,54888.75255151279,27.888086578371478,OTM,54888.75255151279,0.0
2019-10-28,5.038788318634033,4.889107404784197,3,120,120.0,55008.75255151279,26.236738636305464,OTM,55008.75255151279,0.0
2019-11-04,5.167874336242676,4.863033425685474,3,120,120.0,55128.75255151279,25.061042272345396,OTM,55128.75255151279,0.0
2019-11-11,5.078584671020508,4.98849246782589,3,120,120.0,55248.75255151279,25.012171076675124,OTM,55248.75255151279,0.0
2019-11-18,5.245225429534912,4.892686823615594,3,120,120.0,55368.75255151279,25.558283683113046,OTM,55368.75255151279,0.0
2019-11-25,5.394702434539795,5.0531329298216825,3,120,120.0,55488.75255151279,25.563501861303394,OTM,55488.75255151279,0.0
2019-12-02,5.280956745147705,5.212548047102083,3,120,120.0,55608.75255151279,24.739435928883484,OTM,55608.75255151279,0.0
2019-12-09,5.575158596038818,5.093602650426588,3,120,120.0,55728.75255151279,25.23321837742082,OTM,55728.75255151279,0.0
