Ticker,Stock_Name,Strategy,Description,Final_Capital,Total_Return_%,Annualized_Return_%,Max_Drawdown_%,Win_Rate_%,Avg_Win,Avg_Loss,Total_Trades,Years,Blown_Up,Over_100%
TSLA,Tesla,Daily_ATM_Aggressive,"Daily ATM puts, 2x leverage, high frequency",477484.6469434707,854.9692938869415,47.30090623340983,-7.452353365742614,77.52043596730245,644.3887521090925,-926.756827141443,1468,5.8261464750171115,NO,NO
TSLA,Tesla,Daily_ITM_Premium_Hunter,Daily In-the-Money puts for maximum premium,457943.71751279675,815.8874350255935,46.24822856270654,-3.793161293268145,77.52043596730245,492.8458646670782,-463.3784135707215,1468,5.8261464750171115,NO,NO
TSLA,Tesla,Daily_Scalper_3x,"Daily trades, 3x contracts, quick gains",680723.3342966053,1261.4466685932107,56.54525608295009,-9.018903238726093,86.78474114441417,705.1836619343658,-1379.7971701431773,1468,5.8261464750171115,NO,NO
TSLA,Tesla,Weekly_Leveraged_5x,Weekly with 5x leverage - maximum aggression,749466.4980895575,1398.932996179115,59.46613005585783,-4.173539586001978,94.53924914675767,2657.992248749929,-2299.8346758857647,293,5.801505817932923,NO,NO
TSLA,Tesla,Daily_Momentum_Rider,Daily puts only when stock trending up (momentum),213590.95707680116,327.1819141536023,28.40905120447099,-6.091374551264593,80.9462915601023,451.3340682306354,-819.4866316321542,782,5.806981519507187,NO,NO
TSLA,Tesla,Daily_High_Vol_Max_Premium,"Daily puts only when VIX>25, max contracts",904969.2938869414,1709.938587773883,64.38624252762679,-10.145930874043968,77.52043596730245,1288.777504218185,-1853.513654282886,1468,5.8261464750171115,NO,NO
TSLA,Tesla,Daily_Close_ITM,Daily 1% ITM for higher premium,704335.6967233629,1308.671393446726,57.46416671731818,-6.182338904396091,77.52043596730245,843.7306236204213,-926.756827141443,1468,5.8261464750171115,NO,NO
TSLA,Tesla,Wheel_Strategy_Aggressive,"Sell puts, get assigned, sell calls (simulated)",376659.18975725403,653.318379514508,41.632837131039956,-0.8200177317675365,98.63481228668942,1140.3991824448044,-729.0434923235747,293,5.801505817932923,NO,NO
TSLA,Tesla,Daily_Range_Bound,Daily puts when stock pulls back 2%+ (buy the dip),516384.92746660794,932.7698549332158,49.29443101398323,-10.482027485797481,86.07714016933208,741.5833108065407,-1433.539202171463,1063,5.8261464750171115,NO,NO
TSLA,Tesla,Daily_Compounding_Beast,"Daily ATM, reinvest ALL profits, compound aggressively",2187423.234717354,4274.8464694347085,91.27355050866103,-12.955514412301742,77.52043596730245,3221.9437605454623,-4633.784135707215,1468,5.8261464750171115,NO,NO
